"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
1,1,22,1,29,0,0,188,211.3375,45,4,13,NA,310,1
1,1,24,2,0.9167,1,2,50,151.55,81,4,4,NA,232,1
1,0,25,1,2,1,2,50,151.55,81,4,NA,NA,232,1
1,0,26,2,30,1,2,50,151.55,81,4,NA,135,232,1
1,0,27,1,25,1,2,50,151.55,81,4,NA,NA,232,1
1,1,31,2,48,0,0,125,26.55,151,4,14,NA,238,1
1,1,46,1,63,1,0,93,77.9583,147,4,3,NA,163,1
1,0,47,2,39,0,0,16,0,17,4,NA,NA,25,1
1,1,51,1,53,2,0,77,51.4792,63,4,28,NA,23,1
1,0,55,2,71,0,0,826,49.5042,1,2,NA,22,230,0
1,0,69,2,47,1,0,834,227.525,99,2,NA,124,238,1
1,1,70,1,18,1,0,834,227.525,99,2,15,NA,238,1
1,1,73,1,24,0,0,796,69.3,35,2,23,NA,259,1
1,1,93,1,26,0,0,119,78.85,1,4,19,NA,1,0
1,1,94,2,80,0,0,297,30,10,4,25,NA,159,1
1,0,98,2,29.8811345124283,0,0,791,25.925,1,4,NA,NA,238,0
1,0,99,2,24,0,1,801,247.5208,50,2,NA,NA,231,1
1,1,100,1,50,0,1,801,247.5208,50,2,19,NA,231,1
1,1,101,1,32,0,0,82,76.2917,122,2,21,NA,1,1
1,0,104,2,36,0,0,89,75.2417,98,2,24,NA,364,1
1,1,111,2,37,1,1,71,52.5542,133,4,16,NA,238,1
1,1,112,1,47,1,1,71,52.5542,133,4,16,NA,238,1
1,1,114,2,26,0,0,12,30,79,2,16,NA,238,1
1,1,121,1,42,0,0,834,227.525,1,2,15,NA,1,0
1,1,123,1,29,0,0,798,221.7792,117,4,21,NA,1,1
1,0,125,2,25,0,0,100,26,1,2,NA,148,285,0
1,1,126,2,25,1,0,83,91.0792,44,2,20,NA,99,1
1,1,127,1,19,1,0,83,91.0792,44,2,20,NA,99,1
1,1,128,1,35,0,0,837,135.6333,118,4,21,NA,1,1
1,1,130,2,28,0,0,6,26.55,94,4,28,NA,313,1
1,0,131,2,45,0,0,52,35.5,187,4,NA,NA,341,1
1,1,132,2,40,0,0,22,31,14,2,20,NA,132,1
1,1,133,1,30,0,0,627,164.8667,102,4,21,NA,369,1
1,1,134,1,58,0,0,51,26.55,64,4,21,NA,32,1
1,0,135,2,42,0,0,5,26.55,127,4,NA,NA,209,1
1,1,145,1,45,0,0,825,262.375,1,2,15,NA,77,0
1,1,148,1,22,0,1,39,55,157,4,19,NA,309,1
1,1,151,2,29.8811345124283,0,0,14,26.55,1,4,23,NA,216,0
1,0,152,2,41,0,0,33,30.5,9,4,NA,NA,269,1
1,0,154,2,48,0,0,809,50.4958,22,2,NA,208,250,1
1,0,157,2,29.8811345124283,0,0,25,39.6,1,2,NA,NA,265,0
1,1,163,1,44,0,0,827,27.7208,40,2,19,NA,93,1
1,1,164,1,59,2,0,77,51.4792,63,4,28,NA,28,1
1,1,170,1,60,0,0,82,76.2917,122,2,21,NA,265,1
1,1,172,1,41,0,0,106,134.5,162,2,14,NA,1,1
1,0,176,2,45,0,0,31,26.55,38,4,NA,NA,350,1
1,0,183,2,29.8811345124283,0,0,63,31,1,4,NA,NA,1,0
1,1,184,2,42,0,0,795,26.2875,154,4,16,NA,238,1
1,1,194,1,53,0,0,823,27.4458,1,2,19,NA,350,0
1,1,199,2,36,0,1,832,512.3292,47,2,14,NA,16,1
1,1,200,1,58,0,1,832,512.3292,47,2,14,NA,129,1
1,0,203,2,33,0,0,689,5,47,4,NA,NA,238,1
1,0,206,2,28,0,0,36,47.1,1,4,NA,NA,230,0
1,0,207,2,17,0,0,36,47.1,1,4,NA,NA,230,0
1,1,208,2,11,1,2,44,120,62,4,15,NA,53,1
1,1,209,1,14,1,2,44,120,62,4,15,NA,53,1
1,1,210,2,36,1,2,44,120,62,4,26,NA,53,1
1,1,212,1,36,1,2,44,120,62,4,15,NA,53,1
1,0,215,2,49,0,0,120,26,1,4,NA,NA,10,0
1,1,216,1,29.8811345124283,0,0,118,27.7208,1,2,16,NA,238,0
1,0,217,2,36,1,0,119,78.85,89,4,NA,172,193,1
1,1,218,1,76,1,0,119,78.85,89,4,19,NA,193,1
1,0,220,2,46,1,0,927,61.175,156,4,NA,NA,6,1
1,1,221,1,47,1,0,927,61.175,156,4,15,NA,6,1
1,1,222,2,27,1,0,68,53.1,175,4,16,NA,242,1
1,1,223,1,33,1,0,68,53.1,175,4,16,NA,242,1
1,1,228,1,36,0,0,825,262.375,51,2,15,NA,1,1
1,1,229,1,30,0,0,1,86.5,55,4,21,NA,213,1
1,1,230,2,45,0,0,812,29.7,21,2,20,NA,259,1
1,1,231,1,29.8811345124283,0,1,39,55,157,4,19,NA,309,1
1,0,233,2,29.8811345124283,0,0,17,0,1,4,NA,NA,196,0
1,0,239,2,27,1,0,95,136.7792,111,2,NA,NA,216,1
1,1,240,1,26,1,0,95,136.7792,111,2,15,NA,216,1
1,1,243,1,22,0,0,50,151.55,1,4,4,NA,1,0
1,0,244,2,29.8811345124283,0,0,3,52,4,4,NA,NA,315,1
1,0,253,2,47,0,0,680,25.5875,169,4,NA,NA,347,1
1,1,257,1,39,1,1,833,83.1583,166,2,9,NA,190,1
1,0,258,2,37,1,1,833,83.1583,168,2,NA,NA,190,1
1,1,259,1,64,0,2,833,83.1583,164,2,9,NA,190,1
1,1,272,1,55,2,0,78,25.7,63,4,13,NA,238,1
1,0,278,2,29.8811345124283,0,0,58,26.55,1,4,NA,NA,276,0
1,0,282,2,70,1,1,929,71,29,4,NA,269,228,1
1,1,283,1,36,0,2,929,71,29,4,20,NA,228,1
1,1,284,1,64,1,1,26,26.55,31,4,20,NA,228,1
1,0,286,2,39,1,0,817,71.2833,108,2,NA,NA,238,1
1,1,287,1,38,1,0,817,71.2833,108,2,15,NA,238,1
1,1,295,2,51,0,0,34,26.55,153,4,18,NA,192,1
1,1,299,2,27,0,0,67,30.5,1,4,14,NA,265,0
1,1,300,1,33,0,0,50,151.55,1,4,21,NA,1,0
1,0,303,2,31,1,0,780,52,53,4,NA,NA,231,1
1,1,304,1,27,1,2,780,52,53,4,14,NA,231,1
1,1,335,2,31,1,0,114,57,28,4,14,NA,59,1
1,1,336,1,17,1,0,114,57,28,4,14,NA,59,1
1,1,340,2,53,1,1,399,81.8583,16,4,6,NA,285,1
1,1,341,2,4,0,2,399,81.8583,16,4,16,NA,285,1
1,1,342,1,54,1,1,399,81.8583,16,4,16,NA,285,1
1,0,348,2,50,1,0,838,106.425,109,2,NA,62,89,1
1,1,349,1,27,1,1,801,247.5208,50,2,19,NA,231,1
1,1,350,1,48,1,0,838,106.425,109,2,13,NA,89,1
1,1,360,1,48,1,0,74,39.6,5,2,2,NA,207,1
1,1,361,2,49,1,0,799,56.9292,8,2,2,NA,207,1
1,0,362,2,39,0,0,805,29.7,6,2,NA,133,265,1
1,1,368,1,23,0,1,76,83.1583,96,2,20,NA,234,1
1,1,381,1,38,0,0,834,227.525,88,2,15,NA,238,1
1,1,382,1,54,1,0,628,78.2667,125,2,15,NA,49,1
1,0,383,1,36,0,0,800,31.6792,13,2,NA,NA,238,1
1,0,387,2,29.8811345124283,0,0,798,221.7792,116,4,NA,NA,1,1
1,1,393,1,29.8811345124283,0,0,816,31.6833,1,4,20,NA,238,0
1,1,395,1,29.8811345124283,0,0,108,110.8833,1,2,15,NA,1,0
1,1,398,2,36,0,0,793,26.3875,155,4,16,NA,50,1
1,0,408,2,30,0,0,32,27.75,69,2,NA,NA,238,1
1,1,409,1,24,3,2,124,263,82,4,3,NA,363,1
1,1,410,1,28,3,2,124,263,82,4,3,NA,363,1
1,1,411,1,23,3,2,124,263,82,4,3,NA,363,1
1,0,412,2,19,3,2,124,263,82,4,NA,NA,363,1
1,0,413,2,64,1,4,124,263,82,4,NA,NA,363,1
1,1,414,1,60,1,4,124,263,82,4,3,NA,363,1
1,1,417,1,30,0,0,799,56.9292,159,2,2,NA,1,1
1,0,419,2,29.8811345124283,0,0,48,26.55,132,4,NA,NA,357,1
1,1,420,2,50,2,0,828,133.65,1,4,16,NA,238,0
1,1,421,2,43,1,0,117,27.7208,137,2,16,NA,238,1
1,1,422,1,29.8811345124283,1,0,828,133.65,1,4,16,NA,238,0
1,1,425,1,22,0,2,98,49.5,39,2,16,NA,370,1
1,1,423,2,60,1,1,97,79.2,41,2,16,NA,370,1
1,1,424,1,48,1,1,97,79.2,41,2,16,NA,370,1
1,0,427,2,29.8811345124283,0,0,20,0,24,4,NA,NA,1,1
1,0,429,2,37,1,0,66,53.1,72,4,NA,NA,288,1
1,1,430,1,35,1,0,66,53.1,72,4,28,NA,288,1
1,0,439,2,47,0,0,10,38.5,171,4,NA,275,302,1
1,1,440,1,35,0,0,38,211.5,77,2,15,NA,1,1
1,1,442,1,22,0,1,24,59.4,1,2,20,NA,238,0
1,1,443,1,45,0,1,24,59.4,1,2,20,NA,238,0
1,0,444,2,24,0,0,811,79.2,60,2,NA,NA,1,1
1,1,455,2,49,1,0,109,89.1042,114,2,16,NA,260,1
1,1,456,1,29.8811345124283,1,0,109,89.1042,114,2,16,NA,260,1
1,0,457,2,71,0,0,831,34.6542,18,2,NA,NA,238,1
1,1,471,2,53,0,0,49,28.5,93,2,25,NA,350,1
1,1,472,1,19,0,0,19,30,42,4,14,NA,139,1
1,0,473,2,38,0,1,806,153.4625,113,4,NA,147,363,1
1,1,474,1,58,0,1,806,153.4625,74,4,14,NA,139,1
1,1,477,2,23,0,1,836,63.3583,120,2,20,NA,238,1
1,1,478,1,45,0,1,836,63.3583,120,2,20,NA,238,1
1,0,481,2,46,0,0,811,79.2,59,2,NA,NA,238,1
1,1,502,2,25,1,0,75,55.4417,167,2,16,NA,50,1
1,1,503,1,25,1,0,75,55.4417,167,2,16,NA,50,1
1,1,507,2,48,1,0,804,76.7292,131,2,14,NA,238,1
1,1,508,1,49,1,0,804,76.7292,131,2,14,NA,238,1
1,0,510,2,29.8811345124283,0,0,62,42.4,1,4,NA,NA,1,0
1,0,512,2,45,1,0,631,83.475,107,4,NA,NA,238,1
1,1,514,1,35,1,0,631,83.475,107,4,28,NA,238,1
1,0,515,2,40,0,0,21,0,61,4,NA,110,1,1
1,1,520,2,27,0,0,804,76.7292,143,2,14,NA,1,1
1,1,522,2,29.8811345124283,0,0,107,30,139,4,14,NA,183,1
1,1,523,1,24,0,0,76,83.1583,96,2,20,NA,238,1
1,0,524,2,55,1,1,87,93.5,52,4,NA,307,231,1
1,1,525,1,52,1,1,87,93.5,52,4,14,NA,231,1
1,0,526,2,42,0,0,28,42.5,25,4,NA,NA,204,1
1,0,545,2,29.8811345124283,0,0,110,51.8625,165,4,NA,NA,41,1
1,0,547,2,55,0,0,686,50,87,4,NA,NA,201,1
1,1,548,1,16,0,1,11,57.9792,26,2,15,NA,64,1
1,1,549,1,44,0,1,11,57.9792,26,2,15,NA,64,1
1,1,557,1,51,1,0,93,77.9583,121,4,3,NA,163,1
1,0,562,2,42,1,0,56,52,1,4,NA,38,238,0
1,1,563,1,35,1,0,56,52,1,4,21,NA,238,0
1,1,564,2,35,0,0,13,26.55,1,2,10,NA,170,0
1,1,572,2,38,1,0,122,90,115,4,28,NA,239,1
1,0,573,2,29.8811345124283,0,0,818,30.6958,1,2,9,NA,238,0
1,1,574,1,35,1,0,122,90,115,4,28,NA,239,1
1,1,579,1,38,0,0,43,80,32,4,19,NA,1,1
1,0,584,1,50,0,0,813,28.7125,91,2,NA,NA,261,1
1,1,585,2,49,0,0,20,0,48,4,26,NA,194,1
1,0,618,2,46,0,0,688,26,1,4,NA,80,29,0
1,0,622,2,50,0,0,30,26,170,4,NA,NA,198,1
1,0,643,2,32.5,0,0,38,211.5,78,2,NA,45,1,1
1,0,649,2,58,0,0,79,29.7,37,2,NA,258,56,1
1,0,650,2,41,1,0,111,51.8625,126,4,NA,NA,296,1
1,1,651,1,29.8811345124283,1,0,111,51.8625,126,4,21,NA,296,1
1,1,657,2,42,1,0,73,52.5542,124,4,16,NA,34,1
1,1,658,1,45,1,0,73,52.5542,124,4,16,NA,34,1
1,0,665,2,29.8811345124283,0,0,27,26.55,73,4,NA,NA,271,1
1,1,672,1,39,0,0,188,211.3375,1,4,13,NA,1,0
1,1,692,1,49,0,0,112,25.9292,123,4,21,NA,238,1
1,1,707,1,30,0,0,838,106.425,1,2,13,NA,1,0
1,1,709,2,35,0,0,832,512.3292,23,2,14,NA,1,1
1,0,711,2,29.8811345124283,0,0,829,27.7208,1,2,NA,NA,64,0
1,0,716,2,42,0,0,115,26.55,1,4,NA,NA,312,0
1,1,720,1,55,0,0,23,27.7208,1,2,19,NA,312,0
1,1,722,1,16,0,1,810,39.4,129,4,23,NA,259,1
1,1,723,1,51,0,1,810,39.4,129,4,23,NA,259,1
1,0,730,2,29,0,0,37,30,146,4,NA,126,300,1
1,1,731,1,21,0,0,93,77.9583,148,4,3,NA,163,1
1,0,732,2,30,0,0,65,45.5,1,4,NA,NA,206,0
1,1,740,1,58,0,0,803,146.5208,58,2,NA,NA,1,1
1,1,745,1,15,0,1,188,211.3375,45,4,13,NA,310,1
1,0,748,2,30,0,0,4,26,67,4,NA,NA,46,1
1,1,751,1,16,0,0,1,86.5,57,4,21,NA,1,1
1,1,763,2,29.8811345124283,0,0,80,29.7,90,2,20,NA,259,1
1,0,766,2,19,1,0,46,53.1,130,4,NA,NA,238,1
1,1,767,1,18,1,0,46,53.1,130,4,3,NA,238,1
1,1,772,1,24,0,0,797,49.5042,112,2,19,NA,26,1
1,0,773,2,46,0,0,89,75.2417,98,2,NA,292,346,1
1,0,775,2,54,0,0,110,51.8625,165,4,NA,175,97,1
1,1,784,2,36,0,0,792,26.2875,155,4,20,NA,265,1
1,0,801,2,28,1,0,821,82.1708,1,2,NA,NA,238,0
1,1,802,1,29.8811345124283,1,0,821,82.1708,1,2,19,NA,238,0
1,0,805,2,65,0,0,96,26.55,160,4,NA,249,101,1
1,0,807,2,44,2,0,121,90,104,3,NA,230,124,1
1,1,808,1,33,1,0,121,90,104,3,9,NA,136,1
1,1,809,1,37,1,0,121,90,104,3,9,NA,124,1
1,1,815,2,30,1,0,92,57.75,104,2,4,NA,238,1
1,0,818,2,55,0,0,54,30.5,84,4,NA,NA,231,1
1,0,822,2,47,0,0,62,42.4,1,4,NA,NA,350,0
1,0,856,2,37,0,1,814,29.7,71,2,NA,NA,50,1
1,1,863,1,31,1,0,574,113.275,134,2,19,NA,191,1
1,1,864,1,23,1,0,574,113.275,134,2,19,NA,191,1
1,0,865,2,58,0,2,574,113.275,142,2,NA,122,191,1
1,1,866,1,19,0,2,72,26.2833,141,4,16,NA,238,1
1,0,868,2,64,0,0,687,26,1,4,NA,263,176,0
1,1,899,1,39,0,0,835,108.9,66,2,21,NA,1,1
1,1,908,2,29.8811345124283,0,0,781,25.7417,1,2,20,NA,259,0
1,1,914,1,22,0,1,40,61.9792,36,2,16,NA,274,1
1,0,915,2,65,0,1,40,61.9792,34,2,NA,234,274,1
1,0,917,2,28.5,0,0,802,27.7208,138,2,NA,189,2,1
1,0,935,2,29.8811345124283,0,0,18,0,1,4,NA,NA,24,0
1,0,937,2,45.5,0,0,29,28.5,73,4,NA,166,318,1
1,0,942,2,23,0,0,87,93.5,30,4,NA,NA,231,1
1,0,947,2,29,1,0,47,66.6,80,4,NA,NA,177,1
1,1,948,1,22,1,0,47,66.6,80,4,21,NA,177,1
1,0,953,2,18,1,0,835,108.9,100,2,NA,NA,220,1
1,1,954,1,17,1,0,835,108.9,100,2,21,NA,220,1
1,1,958,1,30,0,0,87,93.5,54,4,14,NA,1,1
1,1,971,2,52,0,0,53,30.5,65,4,19,NA,338,1
1,0,982,2,47,0,0,3,52,68,4,NA,207,367,1
1,1,983,1,56,0,1,76,83.1583,92,2,20,NA,234,1
1,0,996,2,38,0,0,126,0,1,4,NA,NA,279,0
1,1,999,2,29.8811345124283,0,0,824,39.6,1,4,24,NA,256,0
1,0,1012,2,22,0,0,837,135.6333,1,2,NA,232,1,0
1,0,1017,2,29.8811345124283,0,0,834,227.525,1,2,NA,NA,1,0
1,1,1018,1,43,0,1,188,211.3375,33,4,13,NA,310,1
1,0,1021,2,31,0,0,808,50.4958,11,4,NA,NA,341,1
1,1,1024,2,45,0,0,15,26.55,1,4,23,NA,238,0
1,0,1026,2,29.8811345124283,0,0,45,50,15,4,NA,NA,289,1
1,1,1030,1,33,0,0,830,27.7208,3,2,4,NA,259,1
1,0,1031,2,46,0,0,807,79.2,1,2,NA,16,238,0
1,0,1032,2,36,0,0,88,40.125,2,2,NA,NA,363,1
1,1,1034,1,33,0,0,1,86.5,55,4,21,NA,199,1
1,0,1035,2,55,1,0,820,59.4,1,2,NA,NA,238,0
1,1,1036,1,54,1,0,820,59.4,1,2,19,NA,238,0
1,0,1038,2,33,0,0,57,26.55,1,4,NA,109,198,0
1,1,1043,2,13,2,2,825,262.375,49,2,15,NA,157,1
1,1,1044,1,18,2,2,825,262.375,49,2,15,NA,157,1
1,1,1045,1,21,2,2,825,262.375,49,2,15,NA,157,1
1,0,1046,2,61,1,3,825,262.375,49,2,NA,NA,157,1
1,1,1047,1,48,1,3,825,262.375,49,2,15,NA,157,1
1,1,1051,2,29.8811345124283,0,0,127,30.5,67,4,14,NA,222,1
1,1,1066,1,24,0,0,796,69.3,35,2,23,NA,1,1
1,1,1069,2,29.8811345124283,0,0,8,26,1,4,2,NA,238,0
1,1,1081,1,35,1,0,92,57.75,83,2,4,NA,238,1
1,1,1085,1,30,0,0,63,31,1,2,15,NA,1,0
1,1,1086,2,34,0,0,60,26.55,1,4,20,NA,238,0
1,1,1094,1,40,0,0,806,153.4625,74,4,14,NA,241,1
1,1,1096,2,35,0,0,794,26.2875,154,4,16,NA,310,1
1,0,1097,2,50,1,0,94,55.9,163,4,NA,NA,100,1
1,1,1098,1,39,1,0,94,55.9,163,4,4,NA,100,1
1,1,1100,2,56,0,0,90,35.5,12,2,14,NA,21,1
1,1,1119,2,28,0,0,55,35.5,19,4,20,NA,236,1
1,0,1120,2,56,0,0,59,26.55,1,4,NA,NA,238,0
1,0,1123,2,56,0,0,116,30.6958,20,2,NA,NA,308,1
1,0,1124,2,24,1,0,99,60,85,4,NA,NA,164,1
1,0,1125,2,29.8811345124283,0,0,35,26,7,4,NA,NA,316,1
1,1,1127,1,18,1,0,99,60,85,4,19,NA,164,1
1,1,1129,2,24,1,0,132,82.2667,43,4,20,NA,229,1
1,1,1130,1,23,1,0,132,82.2667,43,4,20,NA,229,1
1,1,1135,2,6,0,2,106,134.5,158,2,14,NA,342,1
1,1,1136,2,45,1,1,106,134.5,158,2,14,NA,342,1
1,1,1137,1,40,1,1,106,134.5,158,2,14,NA,342,1
1,0,1138,2,57,1,0,803,146.5208,56,2,NA,NA,259,1
1,1,1139,1,29.8811345124283,1,0,803,146.5208,56,2,19,NA,259,1
1,1,1141,2,32,0,0,91,30.5,46,2,14,NA,21,1
1,0,1147,2,62,0,0,42,26.55,110,4,NA,NA,361,1
1,1,1148,2,54,1,0,81,55.4417,70,2,2,NA,244,1
1,1,1149,1,43,1,0,81,55.4417,70,2,16,NA,244,1
1,1,1150,1,52,1,0,628,78.2667,125,2,15,NA,156,1
1,0,1151,2,29.8811345124283,0,0,822,27.7208,1,2,NA,NA,127,0
1,1,1153,1,62,0,0,43,80,32,1,19,NA,65,1
1,0,1158,2,67,1,0,798,221.7792,97,4,NA,96,238,1
1,0,1159,1,63,1,0,798,221.7792,97,4,NA,NA,238,1
1,0,1166,2,61,0,0,629,32.3208,144,4,NA,46,147,1
1,1,1172,1,48,0,0,113,25.9292,123,4,21,NA,50,1
1,1,1173,1,18,0,2,2,79.65,173,4,21,NA,238,1
1,0,1174,2,52,1,1,2,79.65,172,4,NA,NA,238,1
1,1,1175,1,39,1,1,2,79.65,172,4,21,NA,238,1
1,1,1176,2,48,1,0,128,52,75,4,17,NA,200,1
1,1,1177,1,29.8811345124283,1,0,128,52,75,4,17,NA,200,1
1,0,1179,2,49,1,1,108,110.8833,101,2,NA,NA,156,1
1,1,1180,2,17,0,2,108,110.8833,103,2,25,NA,156,1
1,1,1181,1,39,1,1,108,110.8833,101,2,15,NA,156,1
1,1,1189,1,29.8811345124283,0,0,807,79.2,1,2,28,NA,238,0
1,1,1207,2,31,0,0,228,28.5375,95,2,20,NA,4,1
1,0,1213,2,40,0,0,819,27.7208,1,2,NA,NA,225,0
1,0,1217,2,61,0,0,9,33.5,27,4,NA,245,50,1
1,0,1237,2,47,0,0,630,34.0208,140,4,NA,NA,102,1
1,1,1238,1,35,0,0,832,512.3292,1,2,14,NA,1,0
1,0,1244,2,64,1,0,7,75.25,135,2,NA,NA,271,1
1,1,1245,1,60,1,0,7,75.25,135,2,16,NA,271,1
1,0,1251,2,60,0,0,64,26.55,1,4,NA,NA,119,0
1,0,1265,2,54,0,1,575,77.2875,128,4,NA,NA,52,1
1,0,1266,2,21,0,1,575,77.2875,128,4,NA,169,52,1
1,1,1267,1,55,0,0,837,135.6333,86,2,21,NA,240,1
1,1,1268,1,31,0,2,627,164.8667,102,4,21,NA,369,1
1,0,1269,2,57,1,1,627,164.8667,1,4,NA,NA,369,0
1,1,1270,1,45,1,1,627,164.8667,1,4,21,NA,369,0
1,0,1272,2,50,1,1,38,211.5,105,2,NA,NA,106,1
1,0,1273,2,27,0,2,38,211.5,106,2,NA,NA,106,1
1,1,1274,1,50,1,1,38,211.5,105,2,15,NA,106,1
1,1,1279,1,21,0,0,61,26.55,1,4,22,NA,100,0
1,0,1283,2,51,0,1,815,61.3792,1,2,NA,NA,128,0
1,1,1287,2,21,0,1,815,61.3792,1,2,24,NA,128,0
1,0,1282,2,29.8811345124283,0,0,41,35,76,4,NA,NA,213,1
1,1,1288,1,31,0,0,106,134.5,161,2,14,NA,1,1
1,1,1293,2,29.8811345124283,0,0,123,35.5,94,4,28,NA,213,1
1,0,1295,2,62,0,0,69,26.55,1,4,NA,NA,149,0
1,1,1298,1,36,0,0,837,135.6333,86,2,21,NA,243,1
2,0,7,2,30,1,0,790,24,1,2,NA,NA,283,0
2,1,8,1,28,1,0,790,24,1,2,3,NA,283,0
2,0,17,2,30,0,0,214,13,1,4,NA,NA,54,0
2,0,44,2,18,0,0,151,11.5,1,4,NA,NA,55,0
2,0,45,2,25,0,0,766,10.5,1,4,NA,NA,86,0
2,0,49,2,34,1,0,143,26,1,4,NA,NA,349,0
2,1,50,1,36,1,0,143,26,1,4,4,NA,349,0
2,0,56,2,57,0,0,196,13,1,4,NA,NA,355,0
2,0,85,2,18,0,0,324,11.5,1,4,NA,NA,263,0
2,0,86,2,23,0,0,761,10.5,1,4,NA,NA,140,0
2,1,88,1,36,0,0,313,13,119,4,3,NA,43,1
2,0,89,2,28,0,0,775,10.5,1,4,NA,NA,267,0
2,0,97,2,51,0,0,849,12.525,1,4,NA,174,179,0
2,1,102,2,32,1,0,318,26,1,4,6,NA,249,0
2,1,103,1,19,1,0,318,26,1,4,6,NA,249,0
2,0,105,2,28,0,0,197,26,1,4,NA,NA,108,0
2,1,107,2,1,2,1,147,39,185,4,4,NA,146,1
2,1,108,1,4,2,1,147,39,185,4,4,NA,146,1
2,1,109,1,12,2,1,147,39,185,4,6,NA,146,1
2,1,110,1,36,0,3,147,39,185,4,4,NA,146,1
2,1,113,2,34,0,0,204,13,145,4,6,NA,198,1
2,1,116,1,19,0,0,310,13,1,4,5,NA,277,0
2,0,118,2,23,0,0,312,13,1,4,NA,NA,305,0
2,0,137,2,26,0,0,171,13,1,4,NA,NA,107,0
2,0,147,2,42,0,0,130,13,1,4,NA,NA,198,0
2,0,149,2,27,0,0,137,13,1,4,NA,NA,189,0
2,1,160,1,24,0,0,210,13,183,4,4,NA,205,1
2,1,161,1,15,0,2,326,39,1,4,9,NA,61,0
2,0,162,2,60,1,1,326,39,1,4,NA,NA,61,0
2,1,165,1,40,1,1,326,39,1,4,9,NA,61,0
2,1,166,1,20,1,0,163,26,1,4,5,NA,292,0
2,0,167,2,25,1,0,163,26,1,4,NA,NA,292,0
2,1,174,1,36,0,0,299,13,1,4,23,NA,291,0
2,0,175,2,25,0,0,158,13,1,4,NA,97,297,0
2,0,177,2,42,0,0,195,13,1,4,NA,NA,198,0
2,1,178,1,42,0,0,162,13,1,4,NA,NA,238,0
2,1,185,2,0.8333,0,2,212,29,1,4,6,NA,18,0
2,1,186,2,26,1,1,212,29,1,4,6,NA,18,0
2,1,187,1,22,1,1,212,29,1,4,6,NA,18,0
2,1,190,1,35,0,0,782,21,1,4,9,NA,221,0
2,0,191,2,29.8811345124283,0,0,179,0,1,4,NA,NA,24,0
2,0,198,2,19,0,0,311,13,1,4,NA,18,305,0
2,0,211,1,44,1,0,192,26,1,4,NA,NA,198,0
2,0,213,2,54,1,0,192,26,1,4,NA,NA,198,0
2,0,224,2,52,0,0,209,13.5,1,4,NA,130,48,0
2,0,225,2,37,1,0,856,26,1,4,NA,17,85,0
2,0,226,1,29,1,0,856,26,1,4,NA,NA,85,0
2,1,235,1,25,1,1,176,30,1,4,5,NA,198,0
2,1,236,1,45,0,2,176,30,1,4,5,NA,198,0
2,0,241,2,29,1,0,129,26,1,4,NA,NA,114,0
2,1,242,1,28,1,0,129,26,1,4,9,NA,114,0
2,0,250,2,29,0,0,922,10.5,1,4,NA,NA,155,0
2,0,251,2,28,0,0,213,13,1,4,NA,NA,158,0
2,1,252,2,24,0,0,301,10.5,1,4,23,NA,203,0
2,1,254,1,8,0,2,762,26.25,1,4,9,NA,33,0
2,0,255,2,31,1,1,762,26.25,1,4,NA,NA,33,0
2,1,256,1,31,1,1,762,26.25,1,4,9,NA,33,0
